Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2025,'060110010',207,  ,TH,0,57524,2778335,0,5634,185360,0,9477,409445,0,6371,295318,0,11744,557023,0,6921,374848,0,7321,428782,0,6050,315777,0,2727,155517,0,1277,55702,0,2,563,0,0,0,0,0,0
2,2025,'060110010',210,  ,TH,0,3609,207481,0,538,18418,0,264,10908,0,200,11312,0,891,63166,0,760,50857,0,612,35789,0,157,9312,0,150,6120,0,37,1599,0,0,0,0,0,0,0,0,0
2,2025,'060110010',409,  ,TH,0,4908,385233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,9625,0,2439,196724,0,2173,178884,0,0,0
2,2025,'060110010',606,  ,TH,0,9475,682828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3812,269637,0,3957,305990,0,1706,107201,0,0,0
2,2025,'060110020',207,  ,TH,0,75281,2193842,0,1358,33167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,65636,0,17901,475444,0,20214,472646,0,15431,484320,0,10475,395813,0,7204,266816
2,2025,'060110020',606,  ,TH,0,2210,62405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210,62405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060110090',105,  ,TH,0,353,9692,0,6,550,0,0,0,0,0,0,0,0,0,0,0,0,0,13,242,0,288,6066,0,0,0,0,31,2052,0,15,782,0,0,0,0,0,0
2,2025,'060110090',106,  ,TH,0,1,736,0,0,0,0,1,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0
2,2025,'060110090',111,  ,TH,0,249,15320,0,29,1655,0,120,6001,0,70,4212,0,28,2528,0,2,386,0,0,0,0,0,0,0,0,263,0,0,275,0,0,0,0,0,0,0,0,0
2,2025,'060110090',118,  ,TH,0,85,1104,0,85,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060110090',123,  ,TH,0,3762,24425,0,3155,18741,0,146,1445,0,0,0,0,0,0,0,51,3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,1134
2,2025,'060110090',124,  ,TH,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060110090',131,  ,TH,0,245,5898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2202,0,163,3696,0,0,0
2,2025,'060110090',143,  ,TH,0,73,4481,0,0,0,0,1,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,355,0,60,2890,0,10,844,0,0,0,0,0,0
2,2025,'060110090',205,  ,TH,0,1,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,349,0,0,0,0,0,0,0,0,0
2,2025,'060110090',207,  ,TH,0,52608,1077931,0,3719,68050,0,5128,159224,0,8756,75868,0,1870,25619,0,3199,33701,0,854,17755,0,2562,58739,0,13988,212298,0,4033,80009,0,5693,118783,0,2293,92764,0,513,135121
2,2025,'060110090',208,  ,TH,0,9,2537,0,0,0,0,9,2537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060110090',220,  ,TH,0,82,15702,0,0,0,0,0,0,0,1,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,13844,0,0,0,0,0,0
2,2025,'060110090',234,  ,TH,0,314,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,818,0,300,3982,0,0,0,0,0,0,0,0,0
2,2025,'060110090',304,  ,TH,0,108,14874,0,0,0,0,0,0,0,102,13411,0,6,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060110090',541,  ,TH,0,0,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,241,0,0,821,0,0,0,0,0,0
2,2025,'060110090',543,  ,TH,0,2,37506,0,1,1750,0,1,4233,0,0,4266,0,0,4632,0,0,3035,0,0,4189,0,0,3073,0,0,3798,0,0,4093,0,0,2069,0,0,761,0,0,1607
2,2025,'060110090',545,  ,TH,0,0,6676,0,0,0,0,0,0,0,0,0,0,0,2954,0,0,1900,0,0,844,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264
2,2025,'060110090',546,  ,TH,0,0,60126,0,0,0,0,0,7014,0,0,2071,0,0,5140,0,0,3908,0,0,6180,0,0,3963,0,0,2381,0,0,13531,0,0,8565,0,0,4693,0,0,2680
2,2025,'060110090',551,  ,TH,0,0,668,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060120000',105,  ,TH,0,4271,105407,0,30,1671,0,198,12148,0,411,11893,0,435,13933,0,263,13078,0,477,8279,0,340,6981,0,692,7464,0,503,9933,0,284,6853,0,402,10579,0,236,2595
2,2025,'060120000',106,  ,TH,0,5,6418,0,0,0,0,0,0,0,0,0,0,4,3765,0,0,0,0,0,1716,0,0,0,0,0,0,0,1,937,0,0,0,0,0,0,0,0,0
2,2025,'060120000',111,  ,TH,0,20,17830,0,0,0,0,1,1283,0,3,1265,0,1,1545,0,4,2539,0,2,279,0,4,3059,0,0,294,0,3,4982,0,0,1076,0,0,342,0,2,1166
2,2025,'060120000',207,  ,TH,0,21,203,0,0,0,0,21,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060120000',220,  ,TH,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060120000',543,  ,TH,0,0,18340,0,0,337,0,0,2237,0,0,0,0,0,2005,0,0,1492,0,0,2072,0,0,1276,0,0,1589,0,0,2722,0,0,4610,0,0,0,0,0,0
2,2025,'060120000',545,  ,TH,0,5,4636,0,0,0,0,0,0,0,0,0,0,0,878,0,0,2063,0,3,349,0,1,237,0,0,0,0,1,321,0,0,788,0,0,0,0,0,0
2,2025,'060120000',546,  ,TH,0,0,170561,0,0,6301,0,0,13372,0,0,6876,0,0,3253,0,0,2246,0,0,10945,0,0,22670,0,0,9040,0,0,24544,0,0,31295,0,0,16031,0,0,23988
2,2025,'060210000',103,  ,NO,0,111000,10885,0,0,0,0,30000,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,31000,2946,0,0,0,0,0,0,0,50000,4909,0,0,0,0,0,0
2,2025,'060210000',105,  ,NO,0,114812037,700682,0,11617191,67778,0,12168544,72550,0,14718047,86033,0,14375350,95615,0,6183879,50131,0,8707294,53966,0,5207609,31686,0,7889223,47153,0,8820356,51837,0,6346111,36867,0,9105264,52329,0,9673169,54737
2,2025,'060210000',110,  ,NO,0,66097074,401977,0,6192223,40272,0,4707240,28905,0,5118954,37393,0,6545950,39497,0,6211710,47486,0,4230240,24653,0,5823355,31031,0,7110560,36849,0,6336340,34475,0,5433785,30725,0,4462422,26722,0,3924295,23969
2,2025,'060210000',111,  ,NO,0,61304,12671,0,0,0,0,0,0,0,48270,11717,0,13034,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',113,  ,NO,0,2933450,10217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322700,1104,0,582600,1998,0,632050,2154,0,542850,1907,0,853250,3054
2,2025,'060210000',117,  ,NO,0,361910,8957,0,10780,265,0,20895,592,0,19640,501,0,33160,902,0,71120,1976,0,14500,428,0,17960,617,0,31590,505,0,43070,747,0,33935,1018,0,21630,600,0,43630,806
2,2025,'060210000',118,  ,NO,0,13629626,67998,0,1802700,8997,0,595000,2913,0,796300,4079,0,913726,4978,0,832000,4075,0,670500,3283,0,623200,3052,0,2032100,10149,0,1186900,6010,0,1609300,7883,0,1400900,6862,0,1167000,5717
2,2025,'060210000',123,  ,NO,0,295200,2264,0,62050,482,0,0,0,0,41500,328,0,0,0,0,44850,357,0,40300,346,0,0,0,0,0,0,0,44500,312,0,0,0,0,62000,439,0,0,0
2,2025,'060210000',125,  ,NO,0,8216824,77740,0,841470,6673,0,1340330,11310,0,1105400,9825,0,647950,8428,0,1063180,13197,0,854020,5845,0,535490,4028,0,313040,5666,0,336090,2995,0,358410,3544,0,507410,3878,0,314034,2351
2,2025,'060210000',143,  ,NO,0,94873,5379,0,24400,1213,0,21600,1186,0,0,0,0,1800,431,0,0,0,0,21773,1239,0,5600,203,0,0,0,0,0,0,0,0,0,0,4200,213,0,15500,894
2,2025,'060210000',207,  ,NO,0,30510,1875,0,0,0,0,7200,338,0,0,0,0,11380,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,416,0,5730,527,0,0,0
2,2025,'060210000',210,  ,NO,0,10339,607,0,0,0,0,10000,403,0,0,0,0,0,0,0,0,0,0,339,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',213,  ,NO,0,21500,1649,0,0,0,0,8770,740,0,11610,703,0,0,0,0,1120,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',217,  ,NO,0,83325,5056,0,17900,993,0,0,0,0,0,0,0,34180,1876,0,18545,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,332,0,7800,493
2,2025,'060210000',218,  ,NO,0,20,208,0,0,0,0,0,0,0,0,0,0,20,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',220,  ,NO,0,120722,15287,0,0,0,0,0,0,0,0,0,0,0,0,0,83296,11652,0,34591,3305,0,2835,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',234,  ,NO,0,21600,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,12300,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9300,226,0,0,0
2,2025,'060210000',238,  ,NO,0,200,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,715,0,0,0,0,0,0,0,0,0
2,2025,'060210000',304,  ,NO,0,1652,4320,0,0,0,0,0,0,0,200,754,0,1452,3566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',305,  ,NO,0,179,5037,0,0,0,0,0,0,0,70,2261,0,0,0,0,109,2776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',306,  ,NO,0,37600,2268,0,7300,392,0,10400,682,0,9900,464,0,0,0,0,10000,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',310,  ,NO,0,646300,18918,0,153700,4334,0,236900,6601,0,114500,3237,0,11800,335,0,11400,338,0,20200,621,0,10600,305,0,0,0,0,15700,476,0,21000,1507,0,31200,692,0,19300,472
2,2025,'060210000',311,  ,NO,0,385140,7341,0,129330,2356,0,136400,2512,0,65860,1324,0,0,0,0,13350,297,0,9600,218,0,0,0,0,0,0,0,9500,235,0,0,0,0,0,0,0,21100,399
2,2025,'060210000',401,  ,NO,0,1372242,36553,0,270066,5957,0,111819,2247,0,255254,7792,0,206531,2938,0,178125,6744,0,58991,1634,0,6919,1318,0,759,442,0,67806,1361,0,74980,2052,0,67421,1411,0,73571,2657
2,2025,'060210000',410,  ,NO,0,106800,3923,0,0,0,0,0,0,0,0,0,0,0,0,0,58800,2223,0,48000,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060210000',538,  ,NO,0,16915782,92262,0,1249444,6364,0,1132043,4815,0,1451408,6080,0,1975924,8471,0,1643954,9109,0,1907022,11487,0,1605307,11201,0,1860487,8469,0,2068181,10111,0,701771,4418,0,678586,6162,0,641655,5575
2,2025,'060210000',541,  ,NO,0,7592688,232886,0,838205,23288,0,737085,21316,0,513000,17167,0,152150,5263,0,215600,7640,0,487350,14347,0,340980,10365,0,330000,10130,0,964250,31219,0,1171300,36676,0,995020,30378,0,847748,25097
2,2025,'060210000',542,  ,NO,0,10623101,74464,0,282000,2518,0,322800,3302,0,331410,3555,0,415300,3798,0,432810,6993,0,1349040,10407,0,1434609,7756,0,1888635,8709,0,1919800,14874,0,695550,2859,0,822147,6824,0,729000,2869
2,2025,'060210000',543,  ,NO,0,183223,6461,0,0,0,0,0,0,0,4500,241,0,0,0,0,90500,1651,0,61854,2369,0,169,1638,0,0,0,0,0,0,0,0,0,0,26200,562,0,0,0
2,2025,'060210000',551,  ,NO,0,2530,693,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060220000',105,  ,NO,0,15376,15772,0,6200,6295,0,350,211,0,2460,2926,0,0,0,0,0,0,0,0,0,0,2050,1863,0,0,0,0,770,744,0,210,414,0,1300,1349,0,2036,1970
2,2025,'060220000',117,  ,NO,0,200,655,0,0,0,0,0,0,0,0,0,0,0,0,0,200,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060220000',207,  ,NO,0,14103,11659,0,1250,717,0,6280,5092,0,4573,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2250,0,0,0
2,2025,'060220000',218,  ,NO,0,154,18768,0,0,0,0,54,6474,0,0,0,0,0,0,0,50,9198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3096
2,2025,'060220000',220,  ,NO,0,29270,18407,0,0,0,0,19270,12749,0,10000,5658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060220000',304,  ,NO,0,187,1576,0,0,0,0,0,0,0,180,1254,0,0,0,0,0,0,0,7,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060220000',601,  ,NO,0,385,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,1342,0,0,0,0,0,0,0,0,0
2,2025,'060220000',606,  ,NO,0,1350,1007,0,0,0,0,0,0,0,292,320,0,0,0,0,0,0,0,1058,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060230000',207,  ,NO,0,200,225,0,0,0,0,200,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060230000',223,  ,NO,0,2726,3583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726,3583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
